10 41.903
20 180.568
30 418.953
40 757.102
50 1195.02
60 1731.72
70 2369.25
80 3102.9
90 3939.75
100 4882.58
110 5913.69
120 7054.04
130 8286.57
140 9619.52
150 11056
160 12594.1
170 14240.7
180 15967.6
190 17799.1
200 19746.2
210 21771.4
220 23913.6
230 26147
240 28484.9
250 30926.9
260 33463.6
270 36085.9
280 38825.1
290 41666.8
300 44599.1
310 47639.8
320 50783.2
330 53995.2
340 57348.6
350 60784.9
360 64315.7
370 67964.6
380 71694.9
390 75538.1
400 79440.5
410 83503.8
420 87610.3
430 91858.5
440 96208.6
450 100628
460 105165
470 109811
480 114557
490 119395
500 124315
510 129363
520 134504
530 139758
540 145077
550 150490
560 156024
570 161661
580 167389
590 173230
600 179187
610 185205
620 191347
630 197609
640 203916
650 210316
660 216913
670 223506
680 230233
690 237093
700 244010
710 251041
720 258186
730 265442
740 272792
750 280222
760 287708
770 295377
780 303119
790 310968
800 318885
810 326935
820 335073
830 343290
840 351611
850 360063
860 368569
870 377268
880 385978
890 394787
900 403761
910 412710
920 421938
930 431152
940 440516
950 449925
960 459420
970 469059
980 478874
990 488674
1000 498581
